Date (Beijing Time),ETH/USDT Close Price
2019-09-01,172.45000000
2019-09-02,170.64000000
2019-09-03,178.20000000
2019-09-04,178.69000000
2019-09-05,174.20000000
2019-09-06,173.04000000
2019-09-07,168.79000000
2019-09-08,178.84000000
2019-09-09,180.57000000
2019-09-10,181.77000000
2019-09-11,181.25000000
2019-09-12,178.12000000
2019-09-13,180.40000000
2019-09-14,180.38000000
2019-09-15,188.45000000
2019-09-16,192.51000000
2019-09-17,198.24000000
2019-09-18,212.20000000
2019-09-19,208.28000000
2019-09-20,218.30000000
2019-09-21,218.74000000
2019-09-22,213.53000000
2019-09-23,209.28000000
2019-09-24,202.20000000
2019-09-25,168.70000000
2019-09-26,169.15000000
2019-09-27,164.13000000
2019-09-28,174.67000000
2019-09-29,173.46000000
2019-09-30,169.25000000
2019-10-01,178.68000000
2019-10-02,176.34000000
2019-10-03,179.25000000
2019-10-04,172.90000000
2019-10-05,175.48000000
2019-10-06,176.25000000
2019-10-07,170.00000000
2019-10-08,180.60000000
2019-10-09,181.55000000
2019-10-10,192.77000000
2019-10-11,189.76000000
2019-10-12,181.48000000
2019-10-13,180.61000000
2019-10-14,181.27000000
2019-10-15,186.33000000
2019-10-16,180.24000000
2019-10-17,173.61000000
2019-10-18,176.85000000
2019-10-19,172.07000000
2019-10-20,170.91000000
2019-10-21,174.23000000
2019-10-22,173.98000000
2019-10-23,171.13000000
2019-10-24,161.32000000
2019-10-25,160.68000000
2019-10-26,187.36000000
2019-10-27,179.53000000
2019-10-28,187.08000000
2019-10-29,182.61000000
2019-10-30,189.35000000
2019-10-31,183.91000000
2019-11-01,181.91000000
2019-11-02,183.08000000
2019-11-03,183.21000000
2019-11-04,181.30000000
2019-11-05,185.15000000
2019-11-06,188.02000000
2019-11-07,191.02000000
2019-11-08,187.11000000
2019-11-09,184.35000000
2019-11-10,184.40000000
2019-11-11,189.38000000
2019-11-12,185.65000000
2019-11-13,186.18000000
2019-11-14,187.72000000
2019-11-15,184.21000000
2019-11-16,180.09000000
2019-11-17,182.83000000
2019-11-18,183.81000000
2019-11-19,177.28000000
2019-11-20,175.65000000
2019-11-21,174.72000000
2019-11-22,162.62000000
2019-11-23,148.30000000
2019-11-24,150.76000000
2019-11-25,140.26000000
2019-11-26,145.83000000
2019-11-27,147.85000000
2019-11-28,154.44000000
2019-11-29,152.26000000
2019-11-30,154.61000000
2019-12-01,150.70000000
2019-12-02,150.38000000
2019-12-03,149.21000000
2019-12-04,144.52000000
2019-12-05,145.61000000
2019-12-06,147.43000000
2019-12-07,148.31000000
2019-12-08,147.47000000
2019-12-09,150.62000000
2019-12-10,147.70000000
2019-12-11,145.74000000
2019-12-12,141.89000000
2019-12-13,144.78000000
2019-12-14,144.77000000
2019-12-15,140.57000000
2019-12-16,142.11000000
2019-12-17,132.58000000
2019-12-18,124.41000000
2019-12-19,130.62000000
2019-12-20,127.41000000
2019-12-21,127.56000000
2019-12-22,126.89000000
2019-12-23,133.76000000
2019-12-24,128.22000000
2019-12-25,126.91000000
2019-12-26,124.80000000
2019-12-27,125.33000000
2019-12-28,127.71000000
2019-12-29,127.93000000
2019-12-30,133.53000000
2019-12-31,131.52000000
2020-01-01,128.87000000
2020-01-02,130.67000000
2020-01-03,127.07000000
2020-01-04,133.70000000
2020-01-05,134.76000000
2020-01-06,135.65000000
2020-01-07,143.77000000
2020-01-08,147.55000000
2020-01-09,139.89000000
2020-01-10,137.16000000
2020-01-11,143.55000000
2020-01-12,143.23000000
2020-01-13,144.99000000
2020-01-14,145.36000000
2020-01-15,169.27000000
2020-01-16,163.95000000
2020-01-17,163.78000000
2020-01-18,173.21000000
2020-01-19,176.23000000
2020-01-20,165.68000000
2020-01-21,166.42000000
2020-01-22,169.71000000
2020-01-23,167.16000000
2020-01-24,163.07000000
2020-01-25,158.63000000
2020-01-26,160.12000000
2020-01-27,168.46000000
2020-01-28,171.44000000
2020-01-29,175.80000000
2020-01-30,173.02000000
2020-01-31,184.08000000
2020-02-01,181.09000000
2020-02-02,181.56000000
2020-02-03,191.72000000
2020-02-04,190.76000000
2020-02-05,189.63000000
2020-02-06,203.14000000
2020-02-07,217.73000000
2020-02-08,221.19000000
2020-02-09,226.52000000
2020-02-10,228.86000000
2020-02-11,220.49000000
2020-02-12,247.07000000
2020-02-13,272.21000000
2020-02-14,268.08000000
2020-02-15,285.96000000
2020-02-16,265.85000000
2020-02-17,255.74000000
2020-02-18,265.21000000
2020-02-19,277.92000000
2020-02-20,262.66000000
2020-02-21,256.13000000
2020-02-22,265.41000000
2020-02-23,263.47000000
2020-02-24,275.80000000
2020-02-25,263.70000000
2020-02-26,246.86000000
2020-02-27,216.48000000
2020-02-28,230.35000000
